Candidate Ref,DOJ Extended,D-DOJ Extended ,Duration to accept offer,Notice period,Offered band,E0,E1,E2,E3,E4,E5,Pecent hike expected in CTC,Percent hike offered in CTC,Percent difference CTC,Joining Bonus,D-Joining Bonus,Candidate relocate actual,Gender,Candidate Source,D-Agency,D-Employee Referral,Rex in Yrs,LOB,D-Sales,D-Healthcare,D-Infra,D-AXON,Location,D-Bangalore,D-Chennai,D-Mumbai,D-Delhi NCR,D-Hyderabad,Age,Status,D-Joining
2110407,Yes,1,14,30,E2,0,0,1,0,0,0,-20.79,13.16,42.86,No,0,No,Female,Agency,1,0,7,ERS,0,0,0,0,Noida,0,0,0,1,0,34,Joined,1
2112635,No,0,18,30,E2,0,0,1,0,0,0,50,320,180,No,0,No,Male,Employee Referral,0,1,8,INFRA,0,0,1,0,Chennai,0,1,0,0,0,34,Joined,1
2112838,No,0,3,45,E2,0,0,1,0,0,0,42.84,42.84,0,No,0,No,Male,Agency,1,0,4,INFRA,0,0,1,0,Noida,0,0,0,1,0,27,Joined,1
2115021,No,0,26,30,E2,0,0,1,0,0,0,42.84,42.84,0,No,0,No,Male,Employee Referral,0,1,4,INFRA,0,0,1,0,Noida,0,0,0,1,0,34,Joined,1
2115125,Yes,1,1,120,E2,0,0,1,0,0,0,42.59,42.59,0,No,0,Yes,Male,Employee Referral,0,1,6,INFRA,0,0,1,0,Noida,0,0,0,1,0,34,Joined,1
2117167,Yes,1,17,30,E1,0,1,0,0,0,0,42.83,42.83,0,No,0,No,Male,Employee Referral,0,1,2,INFRA,0,0,1,0,Noida,0,0,0,1,0,34,Joined,1
2119124,Yes,1,37,30,E2,0,0,1,0,0,0,31.58,31.58,0,No,0,No,Male,Employee Referral,0,1,7,INFRA,0,0,1,0,Noida,0,0,0,1,0,32,Joined,1
2121918,No,0,,45,E2,0,0,1,0,0,0,40,208.64,120.45,No,0,No,Male,Employee Referral,0,1,4,INFRA,0,0,1,0,Noida,0,0,0,1,0,34,Not Joined,0
2127572,Yes,1,16,0,E1,0,1,0,0,0,0,-20,-20,0,No,0,No,Female,Direct,0,0,8,Healthcare,0,1,0,0,Noida,0,0,0,1,0,34,Joined,1
2137866,No,0,,30,E1,0,1,0,0,0,0,1,-51.37,-55.71,No,0,No,Male,Direct,0,0,4,ERS,0,0,0,0,Noida,0,0,0,1,0,34,Not Joined,0
